0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
0,20,20
0,21,21
0,22,22
0,23,23
0,24,24
0,25,25
0,26,26
0,27,27
0,28,28
0,29,29
0,30,30
0,31,31
0,32,32
0,33,33
0,34,34
0,35,35
0,36,34
0,37,33
0,38,32
0,39,31
0,40,30
0,41,29
0,42,28
0,43,27
0,44,26
0,45,25
0,46,24
0,47,23
0,48,22
0,49,21
0,50,20
0,51,19
0,52,18
0,53,17
0,54,16
0,55,15
0,56,14
0,57,13
0,58,12
0,59,11
0,60,10
0,61,9
0,62,8
0,63,7
0,64,6
0,65,5
0,66,4
0,67,3
0,68,2
0,69,1
1,0,1
1,1,0
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,8,7
1,9,8
1,10,9
1,11,10
1,12,11
1,13,12
1,14,13
1,15,14
1,16,15
1,17,16
1,18,17
1,19,18
1,20,19
1,21,20
1,22,21
1,23,22
1,24,23
1,25,24
1,26,25
1,27,26
1,28,27
1,29,28
1,30,29
1,31,30
1,32,31
1,33,32
1,34,33
1,35,34
1,36,35
1,37,34
1,38,33
1,39,32
1,40,31
1,41,30
1,42,29
1,43,28
1,44,27
1,45,26
1,46,25
1,47,24
1,48,23
1,49,22
1,50,21
1,51,20
1,52,19
1,53,18
1,54,17
1,55,16
1,56,15
1,57,14
1,58,13
1,59,12
1,60,11
1,61,10
1,62,9
1,63,8
1,64,7
1,65,6
1,66,5
1,67,4
1,68,3
1,69,2
2,0,2
2,1,1
2,2,0
2,3,1
2,4,2
2,5,3
2,6,4
2,7,5
2,8,6
2,9,7
2,10,8
2,11,9
2,12,10
2,13,11
2,14,12
2,15,13
2,16,14
2,17,15
2,18,16
2,19,17
2,20,18
2,21,19
2,22,20
2,23,21
2,24,22
2,25,23
2,26,24
2,27,25
2,28,26
2,29,27
2,30,28
2,31,29
2,32,30
2,33,31
2,34,32
2,35,33
2,36,34
2,37,35
2,38,34
2,39,33
2,40,32
2,41,31
2,42,30
2,43,29
2,44,28
2,45,27
2,46,26
